"location","name","beta","cancap","cform","dform","idstart","idmax","iharv","laimax","laihar","rootmax","rpin","zalp","fawc","soiltype","hmax","atten","rsmin","laimin","zhmin","rootinit","zdatemin","l_pnr","laic","rootdep","hcrop","rsurf","ncrop","idstart2","zdatemin2","idmax2","iharv2","rname","switch","maxint","waten"
"Chateaudun","Cereals, spring",0.200000002980232,2,2,0.300000011920929,69,161,201,5,2,0.600000023841858,60,1,0.100000001490116,"Silty clay loam (FOCUS)",0.800000011920929,0.600000023841858,50,0.00999999977648258,0.00999999977648258,0.00999999977648258,70,37,NA,NA,NA,NA,1,NA,NA,NA,NA,"ckm6",2,NA,20
"Chateaudun","Cereals, winter",0.100000001490116,3,2,0.200000002980232,299,151,196,7.5,2,0.800000011920929,60,1,0.100000001490116,"Silty clay loam (FOCUS)",0.800000011920929,0.600000023841858,50,0.100000001490116,0.200000002980232,0.200000002980232,90,42,NA,NA,NA,NA,1,NA,NA,NA,NA,"cdm6",2,NA,50
"Chateaudun","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.300000011920929,"Silty clay loam (FOCUS)",NA,0.600000023841858,NA,NA,NA,NA,NA,39,5,0.5,0.200000002980232,50,1,NA,NA,NA,NA,"cnm6",3,NA,20
"Chateaudun","Legumes",0.5,2,1.70000004768372,0.300000011920929,95,158,227,4,3,0.600000023841858,67,1,0.5,"Silty clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,96,51,NA,NA,NA,NA,1,NA,NA,NA,NA,"cjm6",2,NA,10
"Chateaudun","Maize",0.200000002980232,3,1.70000004768372,0.300000011920929,121,227,274,4.5,2,0.800000011920929,67,1.5,0.300000011920929,"Silty clay loam (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,122,47,NA,NA,NA,NA,1,NA,NA,NA,NA,"cgm6",2,NA,20
"Chateaudun","Oil seed rape, winter",0.100000001490116,3,2,0.200000002980232,250,110,191,4,2,1,60,1,0.300000011920929,"Silty clay loam (FOCUS)",0.699999988079071,0.600000023841858,40,0.100000001490116,0.200000002980232,0.200000002980232,90,49,NA,NA,NA,NA,1,NA,NA,NA,NA,"chm6",2,NA,50
"Chateaudun","Pome/stone fruit",0.200000002980232,3,1.5,0.699999988079071,91,151,274,4,0.00999999977648258,1,60,3,0.300000011920929,"Silty clay loam (FOCUS)",4,0.600000023841858,100,0.00999999977648258,3.99000000953674,1.88999998569489,92,38,4,1.89999997615814,5,60,1,NA,NA,NA,NA,"cam6",2,NA,20
"Chateaudun","Potatoes",0.5,2,1.70000004768372,0.300000011920929,120,166,244,4,2,0.600000023841858,75,1,0.5,"Silty clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,121,40,NA,NA,NA,NA,1,NA,NA,NA,NA,"cbm6",2,NA,10
"Chateaudun","Sugar beets",0.200000002980232,2.5,1.70000004768372,1,106,196,288,5,5,1,67,1,0.300000011920929,"Silty clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,107,41,NA,NA,NA,NA,1,NA,NA,NA,NA,"ccm6",2,NA,20
"Chateaudun","Vegetables, bulb",0.5,2,1.5,1,115,181,244,3,3,0.600000023841858,75,1,0.5,"Silty clay loam (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,116,50,NA,NA,NA,NA,1,NA,NA,NA,NA,"cim6",2,NA,10
"Chateaudun","Vegetables, fruiting",0.5,2,1.29999995231628,0.300000011920929,130,181,237,6,3,0.800000011920929,67,1,0.5,"Silty clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.300000011920929,0.100000001490116,0.100000001490116,131,52,NA,NA,NA,NA,1,NA,NA,NA,NA,"clm6",2,NA,10
"Chateaudun","Vegetables, leafy",0.5,2,1.5,1,110,151,196,3,3,0.600000023841858,75,1,0.5,"Silty clay loam (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,111,43,NA,NA,NA,NA,2,212,213,248,288,"cem6",2,NA,10
"Chateaudun","Vegetables, root",0.5,2,1.5,1,69,110,151,3,3,0.800000011920929,75,1,0.5,"Silty clay loam (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,70,45,NA,NA,NA,NA,2,191,192,222,263,"cfm6",2,NA,10
"Chateaudun","Vines",0.200000002980232,3,1.5,0.699999988079071,91,212,305,6,0.00999999977648258,1,60,2,0.5,"Silty clay loam (FOCUS)",1.79999995231628,0.600000023841858,100,0.00999999977648258,1.78999996185303,1.88999998569489,92,53,6,1.89999997615814,1.79999995231628,100,1,NA,NA,NA,NA,"cmm6",2,NA,20
"D1","Cereals, spring",0.200000002980232,2,2,0.300000011920929,125,179,247,4,2,1.29999995231628,60,1,0.349999994039536,"silty clay over clay (FOCUS)",0.800000011920929,0.600000023841858,50,0.00999999977648258,0.00999999977648258,0.00999999977648258,126,24,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D1","Cereals, winter",0.100000001490116,3,2,0.200000002980232,268,174,238,6,2,1.29999995231628,60,1,0.200000002980232,"silty clay over clay (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,84,22,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D1","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.349999994039536,"silty clay over clay (FOCUS)",NA,0.600000023841858,NA,NA,NA,NA,NA,99,5,1.29999995231628,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,0.899999976158142,NA
"D1","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,139,185,251,4,2,1.29999995231628,60,1,0.200000002980232,"silty clay over clay (FOCUS)",0.699999988079071,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,140,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D2","Cereals, winter",0.100000001490116,3,2,0.200000002980232,298,181,219,6,2,0.600000023841858,60,1,0.200000002980232,"clay (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,94,32,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D2","Field beans",0.5,2,1.70000004768372,0.300000011920929,316,180,258,4,3,0.600000023841858,67,1,0.5,"clay (FOCUS)",0.600000023841858,0.600000023841858,40,1,0.100000001490116,0.100000001490116,100,98,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.800000011920929,NA
"D2","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.349999994039536,"clay (FOCUS)",NA,0.600000023841858,NA,NA,NA,NA,NA,100,5,0.600000023841858,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,0.899999976158142,NA
"D2","Oil seed rape, winter",0.100000001490116,3,2,0.200000002980232,258,166,196,5,2,0.600000023841858,60,1,0.200000002980232,"clay (FOCUS) ",0.699999988079071,0.600000023841858,40,1,0.200000002980232,0.200000002980232,69,31,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D3","Cereals, spring",0.200000002980232,2,2,0.300000011920929,91,156,232,4,2,0.600000023841858,60,1,0.349999994039536,"sand (FOCUS)",0.800000011920929,0.600000023841858,50,0.00999999977648258,0.00999999977648258,0.00999999977648258,92,96,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_isc_",2,0.899999976158142,NA
"D3","Cereals, winter",0.100000001490116,3,2,0.200000002980232,325,205,227,6,2,0.600000023841858,60,1,0.200000002980232,"sand (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,106,54,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_iwc_",2,0.899999976158142,NA
"D3","Field beans",0.5,2,1.70000004768372,0.300000011920929,120,196,253,4,3,0.600000023841858,67,1,0.5,"sand (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,121,61,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_ifb_",2,0.800000011920929,NA
"D3","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.349999994039536,"sand (FOCUS)",NA,0.600000023841858,NA,NA,NA,NA,NA,102,5,0.600000023841858,0.200000002980232,50,1,NA,NA,NA,NA,"vr_igr_",3,0.899999976158142,NA
"D3","Legumes",0.5,2,2,0.300000011920929,105,166,222,4,2,0.600000023841858,67,1,0.5,"sand (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,106,64,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_ile_",2,0.850000023841858,NA
"D3","Maize",0.200000002980232,3,1.70000004768372,0.300000011920929,125,222,263,5,2,0.600000023841858,67,1.5,0.349999994039536,"sand (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,126,55,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_ima_",2,0.899999976158142,NA
"D3","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,100,166,237,4,2,0.600000023841858,60,1,0.200000002980232,"sand (FOCUS)",0.699999988079071,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,101,101,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D3","Oil seed rape, winter",0.100000001490116,3,2,0.200000002980232,245,145,201,5,2,0.600000023841858,60,1,0.200000002980232,"sand (FOCUS)",0.699999988079071,0.600000023841858,40,1,0.200000002980232,0.200000002980232,51,58,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D3","Pome/stone fruit",0.200000002980232,2,1.5,0.699999988079071,105,182,303,4,0.00999999977648258,0.800000011920929,60,2,0.349999994039536,"sand (FOCUS)",5,0.449999988079071,80,0.00999999977648258,4.98999977111816,0.790000021457672,106,59,4,0.800000011920929,5,60,1,NA,NA,NA,NA,"vr_ipf_",2,0.800000011920929,NA
"D3","Potatoes",0.5,2,1.70000004768372,0.300000011920929,130,201,258,4,2,0.400000005960464,75,1,0.5,"sand (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,56,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_ipo_",2,0.800000011920929,NA
"D3","Sugar beets",0.200000002980232,2,1.70000004768372,1,115,206,291,5,5,0.600000023841858,67,1,0.349999994039536,"sand (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,116,57,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_isb_",2,0.899999976158142,NA
"D3","Vegetables, bulb",0.5,2,1.5,1,115,181,244,3,3,0.400000005960464,75,1,0.5,"sand (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,116,66,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_ibv_",2,0.600000023841858,NA
"D3","Vegetables, leafy",0.5,2,1.5,1,115,156,201,3,3,0.400000005960464,75,1,0.5,"sand (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,116,62,NA,NA,NA,NA,2,217,218,253,293,"vr_ilv_",2,0.899999976158142,NA
"D3","Vegetables, root",0.5,2,1.5,1,115,181,227,3,3,0.400000005960464,75,1,0.5,"sand (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,116,65,NA,NA,NA,NA,1,NA,NA,NA,NA,"vr_irv_",2,0.800000011920929,NA
"D4","Cereals, spring",0.200000002980232,2,2,0.300000011920929,116,170,238,4,2,1,60,1,0.349999994039536,"loam over sandy loam (FOCUS)",0.800000011920929,0.600000023841858,50,0.00999999977648258,0.00999999977648258,0.00999999977648258,117,68,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D4","Cereals, winter",0.100000001490116,3,2,0.200000002980232,265,172,233,6,2,1,60,1,0.200000002980232,"loam over sandy loam (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,77,67,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D4","Field beans",0.5,2,1.70000004768372,0.300000011920929,105,191,237,4,3,0.800000011920929,67,1,0.5,"loam over sandy loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,106,75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.800000011920929,NA
"D4","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.349999994039536,"loam over sandy loam (FOCUS)",NA,0.600000023841858,NA,NA,NA,NA,NA,103,5,1,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,0.899999976158142,NA
"D4","Legumes",0.5,2,2,0.300000011920929,113,171,222,4,2,0.800000011920929,67,1,0.5,"loam over sandy loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,114,74,NA,NA,NA,NA,1,NA,NA,NA,NA,"sk_ile_",2,0.850000023841858,NA
"D4","Maize",0.200000002980232,3,1.70000004768372,0.300000011920929,130,230,255,5,2,1,67,1.5,0.349999994039536,"loam over sandy loam (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,69,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D4","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,121,168,243,4,2,1,60,1,0.200000002980232,"loam over sandy loam (FOCUS)",0.699999988079071,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,122,73,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D4","Oil seed rape, winter",0.100000001490116,3,2,0.200000002980232,246,156,221,5,2,1,60,1,0.200000002980232,"loam over sandy loam (FOCUS)",0.699999988079071,0.600000023841858,40,1,0.200000002980232,0.200000002980232,60,72,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D4","Pome/stone fruit",0.200000002980232,2,1.5,0.699999988079071,110,186,303,4,0.00999999977648258,1,60,2,0.349999994039536,"loam over sandy loam (FOCUS)",5,0.449999988079071,80,0.00999999977648258,4.98999977111816,0.790000021457672,111,106,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.800000011920929,NA
"D4","Potatoes",0.5,2,1.70000004768372,0.300000011920929,142,233,266,4,2,0.600000023841858,75,1,0.5,"loam over sandy loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,143,70,NA,NA,NA,NA,1,NA,NA,NA,NA,"sk_ipo_",2,0.800000011920929,NA
"D4","Sugar beets",0.200000002980232,2,1.70000004768372,1,124,209,298,5,5,0.800000011920929,67,1,0.349999994039536,"loam over sandy loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,125,71,NA,NA,NA,NA,1,NA,NA,NA,NA,"sk_isb_",2,0.899999976158142,NA
"D4","Vegetables, bulb",0.5,2,1.5,1,113,191,256,3,3,0.400000005960464,75,1,0.5,"loam over sandy loam ( FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,114,105,NA,NA,NA,NA,1,NA,NA,NA,NA,"sk_ibv_",2,0.600000023841858,NA
"D4","Vegetables, leafy",0.5,2,1.5,1,130,201,269,3,3,0.800000011920929,75,1,0.5,"loam over sandy loam (FOCUS)",0.300000011920929,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,104,NA,NA,NA,NA,1,NA,NA,NA,NA,"sk_ilv_",2,0.899999976158142,NA
"D5","Cereals, spring",0.200000002980232,2,2,0.300000011920929,74,135,201,4,2,0.699999988079071,60,1,0.349999994039536,"loam over clay loam (FOCUS)",0.800000011920929,0.600000023841858,50,0.00999999977648258,0.00999999977648258,0.00999999977648258,75,78,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D5","Cereals, winter",0.100000001490116,3,2,0.200000002980232,314,135,196,6,2,0.899999976158142,60,1,0.200000002980232,"loam over clay loam (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,74,76,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D5","Grass/alfalfa",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,67,1,0.349999994039536,"loam over clay loam (FOCUS)",0.200000002980232,0.600000023841858,NA,NA,NA,NA,NA,108,5,0.899999976158142,0.200000002980232,50,1,NA,NA,NA,NA,NA,3,0.899999976158142,NA
"D5","Legumes",0.5,2,2,0.300000011920929,74,150,196,4,2,0.699999988079071,67,1,0.5,"loam over clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,75,80,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.850000023841858,NA
"D5","Maize",0.200000002980232,3,1.70000004768372,0.300000011920929,130,196,258,5,2,0.699999988079071,67,1.5,0.349999994039536,"loam over clay loam (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,131,77,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D5","Oil seed rape, spring",0.100000001490116,2,1.70000004768372,0.200000002980232,74,145,211,4,2,0.699999988079071,60,1,0.200000002980232,"loam over clay loam (FOCUS)",0.699999988079071,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,75,81,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D5","Oil seed rape, winter",0.100000001490116,3,2,0.200000002980232,263,130,186,5,2,0.899999976158142,60,1,0.200000002980232,"loam over clay loam (FOCUS)",0.699999988079071,0.600000023841858,40,1,0.200000002980232,0.200000002980232,60,82,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D5","Pome/stone fruit",0.200000002980232,2,1.5,0.699999988079071,91,151,283,4,0.00999999977648258,0.899999976158142,60,2,0.349999994039536,"loam over clay loam (FOCUS)",5,0.449999988079071,80,0.00999999977648258,4.98999977111816,0.790000021457672,92,83,4,0.899999976158142,5,60,1,NA,NA,NA,NA,NA,2,0.800000011920929,NA
"D5","Sunflowers",0.200000002980232,2,1.70000004768372,0.300000011920929,121,191,243,4,1,0.899999976158142,60,1.5,0.349999994039536,"loam over clay loam (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,122,112,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D6","Cereals, winter",0.100000001490116,3,2,0.200000002980232,334,89,181,6,2,0.800000011920929,60,1,0.200000002980232,"clay loam (FOCUS)",0.800000011920929,0.600000023841858,50,1,0.200000002980232,0.200000002980232,46,84,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,0.899999976158142,NA
"D6","Citrus",0.200000002980232,2,NA,NA,NA,NA,NA,NA,NA,NA,60,2,0.349999994039536,"clay loam (FOCUS)",NA,0.449999988079071,NA,NA,NA,NA,NA,94,5,1,3,150,1,NA,NA,NA,NA,"th_ici_",3,0.699999988079071,NA
"D6","Cotton",0.200000002980232,2,1.70000004768372,0.300000011920929,110,161,258,5,3,0.800000011920929,67,1,0.349999994039536,"clay loam (FOCUS)",1.20000004768372,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,111,109,NA,NA,NA,NA,1,NA,NA,NA,NA,"th_ico_",2,0.899999976158142,NA
"D6","Field beans",0.5,2,1.70000004768372,0.300000011920929,91,121,166,4,3,0.600000023841858,67,1,0.5,"clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,92,89,NA,NA,NA,NA,2,189,190,220,273,"th_ifb_",2,0.800000011920929,NA
"D6","Legumes",0.5,2,2,0.300000011920929,110,140,176,4,2,0.5,67,1,0.5,"clay loam (FOCUS)",0.600000023841858,0.600000023841858,40,0.00999999977648258,0.00999999977648258,0.00999999977648258,111,110,NA,NA,NA,NA,1,NA,NA,NA,NA,"th_ile_",2,0.850000023841858,NA
"D6","Maize",0.200000002980232,3,1.70000004768372,0.300000011920929,110,166,258,5,2,0.800000011920929,67,1.5,0.349999994039536,"clay loam (FOCUS)",1.79999995231628,0.600000023841858,60,0.00999999977648258,0.00999999977648258,0.00999999977648258,111,85,NA,NA,NA,NA,1,NA,NA,NA,NA,"th_ima_",2,0.899999976158142,NA
